expediente,persona_detectada,contexto
SUP-RAP-342/2024,Jorge Álvarez Máynez,"ones correspondientes están señaladas en el 'Anexo 3.5.17', donde se menciona al candidato a presidente de la República, y que se trata de eventos en los que no estuvo presente el candidato Jorge Álvarez Máynez, situación que podía constatarse en la agenda en SIF de la contabilidad con ID 9095; dicho lo cual, la observación en el sentido de eventos no reportados en agenda, por lo que hac"
SUP-RAP-342/2024,Álvarez Máynez,"uación que podía constatarse en la agenda en SIF de la contabilidad con ID 9095; dicho lo cual, la observación en el sentido de eventos no reportados en agenda, por lo que hace al candidato Álvarez Máynez no debería ser observada. Asimismo, señaló que la publicidad observada en esos eventos está plenamente reportada en la contabilidad con ID 9095.  De la conclusión 6_C108_FD , el"
SUP-RAP-342/2024,Álvarez Máynez,"correspondientes estaban señaladas en el 'Anexo 3.5.17 A', donde se menciona al candidato a presidente de la República, y que se trata de eventos en los que no estuvo presente el candidato Álvarez Máynez, situación que podía constatarse en la agenda en SIF de la contabilidad con ID 9095; dicho lo cual, la observación en el sentido de eventos no reportados en agenda, respecto del c"
SUP-RAP-342/2024,Álvarez Máynez,"z, situación que podía constatarse en la agenda en SIF de la contabilidad con ID 9095; dicho lo cual, la observación en el sentido de eventos no reportados en agenda, respecto del candidato Álvarez Máynez no debería observarse . Asimismo, indicó que la publicidad observada en esos eventos estaba plenamente reportada en la contabilidad con ID 9095, y que dicho anexo se adjunta a la"
SUP-RAP-357/2024,PT Partido,"diputaciones federales y senadurías por el principio de representación proporcional y diversas gubernaturas, correspondientes al proceso electoral concurrente 2023-2024. Apelante, recurrente o PT Partido del Trabajo. CEN: Comité Ejecutivo Nacional. CEP: Comprobantes Electrónicos de Pago. CG del INE o responsable: Consejo General del Instituto Nacional Electoral. INE: Instituto Nac"
SUP-RAP-414/2024,Diputado Federal,"n adelante: PAN ), Revolucionario Institucional ( en adelante: PRI ), y de la Revolución Democrática ( en adelante: PRD ), así como contra David Alejandro Cortés Mendoza, entonces candidato a Diputado Federal por el Distrito 10 en Morelia, Michoacán , denuncian do hechos que podrían constituir infracciones a la normatividad electoral en materia de fiscalización, por la presunta omisión"
SUP-RAP-414/2024,David Alejandro Cortés Mendoza,"to, así como su impacto. II. Análisis del caso El asunto tiene su origen en la queja interpuesta por M orena en contra de la coalición ""Fuerza y Corazón por México"", y su entonces candidato David Alejandro Cortés Mendoza, a la D iputación F ederal por el Distrito 10 en Morelia, Michoacán , en el marco del Proceso Electoral Federal 2023-2024 en la entidad referida; por la presunta comisión de hecho"
SUP-REC-763/2024,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,"RECURSO de RECONSIDERACIÓN EXPEDIENTE: SUP-REC- 7 63 /202 4 recurrente : PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA [1] RESPONSABLE: sala regional del tribunal electoral del poder judicial de la federación, correspondiente a la QUINTA circunscripción plurinominal, con sede en TOLUCA , ESTADO DE"
SCM-JIN-27/2024,Publicación Presentación SCM-JIN-,. 4 .2. Oportunidad. Los escritos son oportunos pues fueron presentados en el plazo previsto en el artículo 17.4 de la Ley de Medios como se demuestra a continuación: Juicio Parte actora Publicación Presentación SCM-JIN-27/2024 PAN 21:20 (veintiuna horas con veinte minutos) del 11 (once) de junio a la misma hora del siguiente 14 (catorce) 19:30 (diecinueve horas con treinta minutos del 12 (doce) d
SCM-RAP-47/2024,Juan Guillermo Rendón Gómez,"c) PT Al efecto, e l PT indic ó que desconoc ía los hechos denunciados , ya que de acuerdo con el convenio de coalición firmado con MORENA y el PVEM , el origen partidista del ex candidato Juan Guillermo Rendón Gómez correspond ía a l primero de los partidos referidos , por lo cual los ingresos y gastos de su campaña, y las aportaciones y eventos realiza dos eran exclusiva mente de su responsa"
SCM-RAP-47/2024,Juan Guillermo Rendón,"ala que la autoridad responsable de forma indebida desestimó los elementos probatorios presentados, como las publicaciones en redes sociales, que mostraban la participación del ex candidato Juan Guillermo Rendón en diversos eventos junto con sindicatos y organizaciones gremiales. El PRD argumenta que la autoridad responsable ignoró las pruebas que eran clave para demostrar la vinculación"
ST-JDC-69/2024,Diputado Federal,"del Partido Revolucionario Institucional en el recurso de inconformidad CNJP-RI-MEX-0004/2024 , que confirmó el dictamen de improcedencia sobre el registro de la parte actora como precandidato a Diputado Federal de Mayoría Relativa por el Distrito 26, con cabecera en Toluca de Lerdo, Estado de México , así como la omisión atribuida a diversos órganos partidistas de dar respuesta a las sol"
ST-JDC-69/2024,Diputado Federal,"itida por la Comisión Nacional de Justicia Partidaria del Partido Revolucionario Institucional, que confirmó el dictamen de improcedencia sobre el registro de la parte actora como precandidato a Diputado Federal por mayoría relativa por el Distrito 26, con cabecera en Toluca de Lerdo, Estado de México, entidad federativa que pertenece a la Circunscripción en la que esta Sala Regional ejer"
ST-JDC-69/2024,Diputado Federal,"Partidaria del Partido Revolucionario Institucional en un recurso de inconformidad, en el cual, se confirmó el dictamen de improcedencia sobre el registro de la parte actora como precandidato a Diputado Federal de Mayoría Relativa por el Distrito 26, con cabecera en Toluca de Lerdo, Estado de México . La resolución fue aprobada por unanimidad de votos de las Comisionadas y los Comisionad"
ST-RAP-50/2024,Diputado Federal,"INE/CG838/2024 , que declaró fundado el procedimiento en materia de fiscalización INE/Q- COF-UTF/91/2024 , instaurando en contra del mencionado partido político y su aspirante y/o precandidato a Diputado Federal por el Distrito Electoral 06 en Michoacán, correspondiente al proceso electoral concurrente ordinario 2023-2024; y, R E S U L T A N D O I. Antecedentes . De la narración de hechos"
ST-RAP-50/2024,Diputado Federal,"toral en el Estado de Michoacán, recibió en Oficialía de Partes escrito de queja del representante del Partido de la Revolución Democrática en contra del MORENA y su aspirante y/o precandidato a Diputado Federal por el Distrito 06 en esa Entidad Federativa, denunciando la presunta colocación de espectaculares que no incluían el registro ID-INE ; omisión de reportar gastos y la donación de"
ST-RAP-50/2024,Diputado Federal,"iones, declaró fundado el procedimiento en materia de fiscalización INE/Q-COF- UTF/91/2024, promovido en contra de MORENA y Alejandro Correa Gómez, en su carácter de aspirante y/o precandidato a Diputado Federal por el Distrito Electoral 06 en Michoacán, correspondiente al proceso electoral concurrente ordinario 2023-2024. 6. Notificación de la resolución. El veintinueve de junio siguient"
ST-RAP-50/2024,Diputado Federal,"na resolución del Consejo General del Instituto Nacional Electoral, que declaró fundado un procedimiento en materia de fiscalización incoado en contra de MORENA y su aspirante y/o precandidato a Diputado Federal por el Distrito Electoral 06, en el Estado de Michoacán, entidad federativa que pertenecen a la Circunscripción en la que esta Sala Regional ejerce jurisdicción y acto sobre el cu"
ST-RAP-50/2024,Diputado Federal,"al del Instituto Nacional Electoral señaló que la controversia del asunto radicó en determinar si el partido político actor, así como una persona ciudadana, presunto aspirante y/o precandidato a Diputado Federal por ese partido político, incurrieron en la presunta omisión de reportar gastos, así como reportar la donación de una lona con propaganda electoral en apoyo a su precandidatura y"
ST-RAP-50/2024,Diputado Federal,". Origen del procedimiento La autoridad responsable recibió la queja del Partido de la Revolución Democrática denunciando a MORENA y a una persona ciudadana presunto aspirante y/o precandidato a Diputado Federal por ese partido político, por la presunta colocación de espectaculares que no incluyeron en el registro ID-NE , la omisión de reportar gastos, la omisión de reportar la donación d"
SRE-PSC-565/2024,Julieta Andrea Ramírez Padilla,"de labores al exceder la temporalidad prevista en el artículo 242, párrafo 5 .  P or la colocación de bardas y espectaculares con publicidad del informe de actividades 2023 de la diputada federal Julieta Andrea Ramírez Padilla, en diversos municipios de Baja California, los que fuero n visibles según la quejosa desde el cinco, seis, diez, 11 y 12 de octubre.  Difusión en el perfil de Facebook de Juliet"
SRE-PSC-565/2024,Julieta Andrea Ramírez Padilla,"de labores al exceder la temporalidad prevista en el artículo 242, párrafo 5 .  Por la colocación de bardas y espectaculares con publicidad del informe de actividades 2023 de la diputada federal Julieta Andrea Ramírez Padilla, en diversos municipios de Baja California, los que fueron visibles según la quejosa desde el cinco, seis, diez, 11 y 12 de octubre. 3. MORENA  Beneficio indebido.  Por la coloc"
SRE-PSC-565/2024,Julieta Andrea Ramírez Padilla,"desde el cinco, seis, diez, 11 y 12 de octubre. 3. MORENA  Beneficio indebido.  Por la colocación de bardas y espectaculares con publicidad del informe de actividades 2023 de la diputada federal Julieta Andrea Ramírez Padilla, en diversos municipios de Baja California, los que fueron visibles según la quejosa desde el cinco, seis, diez, 11 y 12 de octubre. S ÉPTIMA . Metodología de estudio. 46. Una vez"
SRE-PSD-80/2024,Diputado Federal,"política o electoral atribuida por la aparición de niñas, niños y/o adolescentes en publicaciones de la red social Facebook , atribuida a David Alejandro Cortés Mendoza, entonces candidato a Diputado Federal por el Distrito Electoral Federal 10, por la coalición denominada ""Fuerza y Corazón por México"" , así como la falta al deber de cuidado atribuida al PRI, PAN y PRD. Asimismo, se d"
SRE-PSD-80/2024,Diputado Federal,"l registrado con la clave SRE-PS D - 80 /2024 integrado con motivo del escrito de queja presentado por Carlos Armando Cisneros Ruiz contra David Alejandro Cortés Mendoza, entonces candidato a Diputado Federal por el Distrito Electoral Federal 10, por la coalición denominada ""Fuerza y Corazón por México"" y a los Partidos Acción Nacional, Revolucionario Institucional y de la Revolución D"
SRE-PSD-80/2024,Diputado Federal,"o al veintinueve de mayo.  Jornada: El dos de junio. 2. Denuncia. El doce de abril, Carlos Armando Cisneros Ruiz interpuso escrito de queja contra David Alejandro Cortés Mendoza, candidato a Diputado Federal por el Distrito Electoral Federal 10, por la coalición denominada ""Fuerza y Corazón por México"" conformada por el PRI, PAN y PRD , por la supuesta vulneración al interés superior"
SRE-PSD-80/2024,Diputado Federal,"r unos instantes en el video, así como en la imagen, no fueron censuradas en atención al Interés Superior de la Niñez. 7. Por lo tanto, se ordenó a David Alejandro Cortés Mendoza, candidato a Diputado Federal, por la coalición denominada ""Fuerza y Corazón por México"" realizar acciones, trámites y gestiones necesarias para retirar las publicaciones denunciadas, así como evitar difundirl"
SRE-PSD-80/2024,Diputado Federal,"a denuncia. El 22 de abril, José Alejandro Lorenzo González representante propietario del partido político MORENA, presentó escrito de queja contra David Alejandro Cortés Mendoza, candidato a Diputado Federal, por la coalición denominada ""Fuerza y Corazón Por México"" por el incumplimiento del acuerdo de medidas cautelares de fecha diecinueve de abril del año en curso, aprobado por el 1"
SRE-PSD-80/2024,Diputado Federal,"o de los vínculos electrónicos proporcionado por el denunciante, el cual contiene el material denunciado. [10] 27. Documental privada: Respuesta de David Alejandro Cortés Mendoza, candidato a Diputado Federal del Distrito 10 de Michoacán, ante la 10 Junta Distrital a través de la cual señaló que el perfil de Meta es administrado por el mismo; señaló que que la extracción de dicho video"
SRE-PSD-80/2024,Diputado Federal,"Revolucionario Institucional. por personal que integra el Comité Directivo Estatal del PRI en Michoacán. [12] 31. Documental privada: Respuesta de David Alejandro Cortes Mendoza, candidato a Diputado Federal del Distrito 10 de Michoacán, ante la 10 Junta Distrital Ejecutiva del Instituto Nacional Electoral a través de la cual señala que se adoptaron las medidas cautelares solicitadas,"
SRE-PSD-80/2024,Diputado Federal,"contenido integral en el enlace electrónico aportado por el denunciante, en su escrito inicial de queja. [15] 34. Documental privada: Respuesta de David Alejandro Cortes Mendoza, candidato a Diputado Federal del Distrito 10 de Michoacán, ante la 10 Junta Distrital Ejecutiva del Instituto Nacional Electoral a través de la cual señala que el perfil de Meta es administrado por él mismo."
SRE-PSD-85/2024,Diputado Federal,"e adviertan artículos, actividades o reuniones promocionales alusivas a la candidatura a la Alcaldía de Gustavo A. Madero, del PT y Juan Guillermo Rendón Gómez o Guillermo Rendón, candidato a Diputado Federal por el 07 Distrito Federal en la Ciudad de México por la coalición electoral “Sigamos Haciendo Historia” . b) Pruebas recabadas por la Junta 0 7 Distrital Ejecutiva del Instituto"
SRE-PSD-85/2024,Guillermo Rendón Gómez,"ticos para el mes de agosto . 42. Documental pública . Consistente en el oficio INE/UTF/DA/31132/2024 de 26 de junio [27] , por medio del cual se remite la capacidad económica del candidato Guillermo Rendón Gómez. c) Pruebas ofrecidas por los denunciados. 43. Técnica . Consistente en las fotografías [28] con las que el denunciado señala se acredita que no colocó la propaganda . 44. Document"
SRE-PSD-87/2024,David Alejandro Cortés Mendoza,zará en el estudio de fondo.  Comprobacion de la propaganda electoral 26. L a autoridad instructora solicitó a la U nidad T écnica de F iscalización que informara s i el entonces candidato David Alejandro Cortés Mendoza o los partidos denunciados registraron propaganda como la que es materia de la denuncia en este procedimiento . 27. Dicha Unidad informó que se localizó el registro de gastos por
