agravio_id,caso_id,numero_agravio,texto_resumen,categoria,subcategoria_fiscalizacion,calificacion,efecto,pagina_fuente,fragmento_fuente
AGR-REAL-001,REAL-FED-001,1,Falta de exhaustividad e incongruencia entre dictamen y anexos,exhaustividad,revision de hallazgos,fundado,Revoca para efectos,NA,"revoca para los efectos que se precisan respecto de algunas conclusiones y confirma sobre de otras"
AGR-REAL-002,REAL-FED-001,2,Fallas en el SIF planteadas de forma generica,sistema de fiscalizacion,SIF,inoperante,Confirma conclusiones,NA,"Agravios genericos y afirmaciones infundadas"
AGR-REAL-003,REAL-FED-002,1,Cuestionamientos a documentacion soporte y avisos de contratacion,documentacion soporte,comprobacion de gasto,infundado,Confirma resolucion,NA,"Se confirma la resolucion impugnada"
AGR-REAL-004,REAL-FED-002,2,Fallas del SIF respecto de CEP gratuitos,sistema de fiscalizacion,CEP,ineficaz,Confirma sancion,NA,"no expone de manera particularizada como las intermitencias le impidieron firmar los 1126 CEP"
AGR-REAL-005,REAL-FED-003,1,Fallas en el SIF sin elementos objetivos,sistema de fiscalizacion,SIF,ineficaz,Confirma varias conclusiones,NA,"no presenta elementos objetivos para sustentar la existencia de las fallas al sistema"
AGR-REAL-006,REAL-FED-003,2,Duplicidad en registro en tiempo real,individualizacion,tiempo real,fundado,Revoca parcialmente,NA,"procede revocar parcialmente la indicada resolucion"
AGR-REAL-007,REAL-FED-004,1,Fallas en el SIF y gastos que benefician mismo ambito,sistema de fiscalizacion,SIF,parcialmente fundado,Revoca parcialmente,NA,"revoca parcialmente en la materia de impugnacion"
AGR-REAL-008,REAL-FED-004,2,Prorrateo entre candidaturas beneficiadas,prorrateo,candidaturas beneficiadas,parcialmente fundado,Revoca parcialmente,NA,"con toda precision los montos erogados las campanas a las que se destinaron y los distritos y candidaturas"
AGR-REAL-009,REAL-FED-005,1,Insuficiencia del analisis de la queja sobre eventos y aportaciones prohibidas,exhaustividad,queja fiscalizacion,fundado,Revoca para efectos,NA,"revoca la resolucion INE/CG1501/2024"
AGR-REAL-010,REAL-FED-006,1,Improcedencia por falta de firma autografa,procedencia,requisito procesal,no estudiado,Sobreseimiento,NA,"se sobreseen los recursos de apelacion"
AGR-REAL-011,REAL-FED-007,1,Indebida valoracion de hechos y circunstancias sobre espectacular/lona,valoracion probatoria,gasto no reportado,estudiado,Revoca,NA,"la responsable tuvo por acreditada la omision de reportar gastos por concepto de un espectacular"
AGR-REAL-012,REAL-FED-007,2,Controversia sobre eficacia del deslinde presentado por la persona denunciada,deslinde,responsabilidad por actos de terceros,estudiado,Revoca,NA,"determino que no cumplio con los elementos establecidos en el articulo 212 del Reglamento de Fiscalizacion"
